,resource,response
0,100,0.568391
1,113,0.5748240824999999
2,127,0.5817520175
3,143,0.5896696575
4,162,0.5990718549999999
5,183,0.6094637575
6,206,0.6204393199999999
7,232,0.6255729666666666
8,262,0.6314998104166667
9,295,0.6380193385416666
10,333,0.6541017849999999
11,376,0.6591784366666666
12,424,0.6684623916666667
13,478,0.6736263666666666
14,539,0.6806793189166667
15,608,0.6893150177777778
16,686,0.69463672
17,774,0.7075438889285715
18,873,0.72234096265625
19,985,0.7325182013888889
20,1111,0.7450952477499999
21,1253,0.7505042404166666
22,1413,0.7626998799107143
23,1594,0.7682390722261905
24,1798,0.7779433222058822
25,2028,0.7838184674736842
26,2288,0.7880296468521303
27,2580,0.7913739983942811
28,2910,0.7954408960411556
29,3283,0.8000502206024447
30,3703,0.8044239029158913
31,4176,0.8086028432467532
32,4711,0.8110890305887681
33,5313,0.8136695110152244
34,5993,0.8172456463482142
35,6760,0.818929549484127
36,7625,0.8208020110367062
37,8600,0.823058988437951
38,9700,0.8259959513888889
39,10941,0.8291661938560606
40,12341,0.8326629794312739
41,13920,0.83696074
42,15701,0.8402780730089081
43,17709,0.8417548594939654
44,19975,0.8434213924497126
45,22530,0.8453004708706896
46,25413,0.84752176395
47,28664,0.8500373596873564
48,32331,0.8516615495125001
49,36467,0.8527333422125001
50,41133,0.8539424777875
51,46395,0.8553136470366379
52,52330,0.8568701562140806
53,59025,0.8585920175251436
54,66576,0.8593404247333334
55,75094,0.8599994813222223
56,84701,0.8607427962611112
57,95537,0.8616252233142362
58,107760,0.8627819345526083
59,121546,0.8644894923791429
60,137096,0.8656420134345787
61,154635,0.8667404280760417
62,174418,0.8677351350380574
63,196732,0.8689428393354991
64,221900,0.8703582299009082
65,250289,0.8720912511485169
66,282310,0.8738350677277245
67,318427,0.8745735923640282
68,359164,0.875135112225893
69,405114,0.8757880056302427
70,456941,0.8765876610486607
71,515400,0.8774384086042126
72,581337,0.8781183663177083
73,655710,0.8781183663177083
74,739597,0.8782640310631807
75,834217,0.8786501884248473
76,940942,0.879085747972764
77,1061320,0.8795770273099306
78,1197099,0.8801311602671251
79,1350249,0.8807561866879585
80,1522992,0.8813971517869085
81,1717835,0.8816497771022501
82,1937604,0.8819347204306084
83,2185490,0.8823138032074167
84,2465089,0.882883162301075
85,2780458,0.88352536133615
86,3136173,0.8839724238583335
87,3537396,0.8839724238583335
88,3989950,0.884178106270625
89,4500400,0.884539039085
90,5076155,0.8849461482485624
91,5725568,0.8854053400632
92,6458064,0.8854053400632
93,7284270,0.8854053400632
94,8216176,0.8854053400632
95,9267306,0.8854053400632
96,10452910,0.8854053400632
97,11790193,0.8854053400632
98,13298561,0.8854053400632
99,14999900,0.8854053400632
