,resource,response
0,100,0.5622818749999999
1,113,0.5687465962499999
2,127,0.57570860375
3,143,0.58366518375
4,162,0.5931136225
5,183,0.60355663375
6,206,0.6172762525
7,232,0.6217986383333333
8,262,0.6270167758333333
9,295,0.6327567270833333
10,333,0.6481994075
11,376,0.6533587983333333
12,424,0.66417504
13,478,0.6688776300000001
14,539,0.6752170968541666
15,608,0.6837722833333333
16,686,0.68870180625
17,774,0.7020598035714285
18,873,0.7167316714062499
19,985,0.7260553548611111
20,1111,0.739684219
21,1253,0.7437753381155303
22,1413,0.7528726031249999
23,1594,0.7577658361785714
24,1798,0.7657475113235294
25,2028,0.7732443067058824
26,2288,0.77708388
27,2580,0.7802011210227273
28,2910,0.7840470293760554
29,3283,0.7887142820203173
30,3703,0.793097448994883
31,4176,0.7968565434902473
32,4711,0.8003263691100543
33,5313,0.8033227780823717
34,5993,0.80740581847578
35,6760,0.8093121831269843
36,7625,0.811447964186508
37,8600,0.8142791955555555
38,9700,0.817691570531401
39,10941,0.8214980796014493
40,12341,0.825762215361111
41,13920,0.8310539445238095
42,15701,0.8347463577500001
43,17709,0.8366193197499999
44,19975,0.83873293125
45,22530,0.8411161074999999
46,25413,0.84380522575
47,28664,0.846837596
48,32331,0.8488697923374999
49,36467,0.8502645032375
50,41133,0.8518379367625
51,46395,0.8536123489375
52,52330,0.8556216709196429
53,59025,0.8578713428125001
54,66576,0.8588976833333334
55,75094,0.85987251159375
56,84701,0.8610302851038792
57,95537,0.8623834064568487
58,107760,0.8639528086475096
59,121546,0.8656463153878192
60,137096,0.8673352282693761
61,154635,0.8686347184711002
62,174418,0.869359612419573
63,196732,0.8701772479433169
64,221900,0.8710994604942529
65,250289,0.872152680064992
66,282310,0.873311061221408
67,318427,0.8735752497489871
68,359164,0.8737892114068103
69,405114,0.8742806509481179
70,456941,0.874834945553283
71,515400,0.8754649137419541
72,581337,0.8766371769314583
73,655710,0.8766371769314583
74,739597,0.876910494058512
75,834217,0.8771299448727976
76,940942,0.8773774706406549
77,1061320,0.8776578017217025
78,1197099,0.8781404579192691
79,1350249,0.8788782140841619
80,1522992,0.8798551363583333
81,1717835,0.8798551363583333
82,1937604,0.8798551363583333
83,2185490,0.8798551363583333
84,2465089,0.8800519557855001
85,2780458,0.8803837187456093
86,3136173,0.8805393488583334
87,3537396,0.8805393488583334
88,3989950,0.880745031270625
89,4500400,0.8811059640850001
90,5076155,0.8815130732485624
91,5725568,0.8819722650632
92,6458064,0.8819722650632
93,7284270,0.8819722650632
94,8216176,0.8819722650632
95,9267306,0.8819722650632
96,10452910,0.8819722650632
97,11790193,0.8819722650632
98,13298561,0.8819722650632
99,14999900,0.8819722650632
