resource,iterations,shots,rounds
100,1.0,100.0,1.0
113,1.0,100.0,1.0
127,1.0,100.0,1.0
143,1.0,100.0,1.0
162,1.0,100.0,1.0
183,1.0,100.0,1.0
206,1.75,100.0,1.0
232,1.875,100.0,1.0
262,1.875,100.0,1.0
295,1.875,100.0,1.0
333,3.0,100.0,1.0
376,3.0,100.0,1.0
424,3.875,100.0,1.75
478,3.875,100.0,1.75
539,4.375,100.0,1.75
608,5.375,100.0,1.25
686,5.0,100.0,1.625
774,7.0,100.0,1.0
873,8.0,100.0,1.0
985,9.0,100.0,1.0
1111,10.875,100.0,1.0
1253,11.875,100.0,1.125
1413,14.0,100.0,1.75
1594,14.625,100.0,1.875
1798,17.0,100.0,2.0
2028,19.625,100.0,2.0
2288,20.625,100.0,2.0
2580,20.25,100.0,2.0
2910,19.5,100.0,2.0
3283,19.5,100.0,2.0
3703,19.25,100.0,2.0
4176,20.75,100.0,2.0
4711,23.625,100.0,2.0
5313,26.125,100.0,2.75
5993,29.0,100.0,3.5
6760,29.0,100.0,3.5
7625,29.25,100.0,3.875
8600,27.5,100.0,3.875
9700,26.75,100.0,3.875
10941,28.25,100.0,4.25
12341,28.875,100.0,4.625
13920,29.375,100.0,5.0
15701,29.875,100.0,5.0
17709,29.875,100.0,5.0
19975,29.875,100.0,5.0
22530,29.875,100.0,5.0
25413,30.0,100.0,5.0
28664,29.875,100.0,5.0
32331,30.0,100.0,5.0
36467,30.0,100.0,5.0
41133,30.0,100.0,5.0
46395,29.875,100.0,5.0
52330,29.625,100.0,5.0
59025,29.875,100.0,5.0
66576,30.0,100.0,5.0
75094,30.0,100.0,5.0
84701,30.0,100.0,5.0
95537,29.875,112.5,5.0
107760,28.875,125.0,5.0
121546,29.375,137.5,5.0
137096,29.5,137.5,5.0
154635,29.625,137.5,5.0
174418,29.0,137.5,5.0
196732,28.75,137.5,5.0
221900,28.875,150.0,5.0
250289,28.75,150.0,5.0
282310,28.5,150.0,5.0
318427,28.75,150.0,5.0
359164,28.625,162.5,5.0
405114,28.375,162.5,5.0
456941,28.125,162.5,5.0
515400,28.5,175.0,5.0
581337,28.875,175.0,5.0
655710,28.875,175.0,5.0
739597,29.125,275.0,5.0
834217,29.125,275.0,5.0
940942,29.125,275.0,5.0
1061320,29.5,325.0,5.0
1197099,29.5,325.0,5.0
1350249,29.625,400.0,5.0
1522992,29.625,400.0,5.0
1717835,29.625,400.0,5.0
1937604,29.625,400.0,5.0
2185490,29.625,500.0,5.0
2465089,29.625,562.5,5.0
2780458,29.5,562.5,5.0
3136173,29.625,562.5,5.0
3537396,29.625,562.5,5.0
3989950,29.625,800.0,5.0
4500400,29.625,800.0,5.0
5076155,29.625,800.0,5.0
5725568,29.625,800.0,5.0
6458064,29.625,800.0,5.0
7284270,29.625,800.0,5.0
8216176,29.625,800.0,5.0
9267306,29.625,800.0,5.0
10452910,29.625,800.0,5.0
11790193,29.625,800.0,5.0
13298561,29.625,800.0,5.0
14999900,29.625,800.0,5.0
