,resource,response
0,100,0.567381625
1,113,0.57386149125
2,127,0.5808398087500001
3,143,0.58881502875
4,162,0.5982856025000001
5,183,0.6087530787500001
6,206,0.62190912
7,232,0.6267954733333333
8,262,0.6324335733333333
9,295,0.6386354833333332
10,333,0.6536371437499999
11,376,0.658730225
12,424,0.6674002191666666
13,478,0.6726161185416667
14,539,0.6793314880208333
15,608,0.688022961111111
16,686,0.6931606524999999
17,774,0.7086803675000001
18,873,0.7224329709374999
19,985,0.7311755736111112
20,1111,0.74604741875
21,1253,0.7500283959280303
22,1413,0.7593059451785714
23,1594,0.7652647076666667
24,1798,0.7742711872058823
25,2028,0.7812382894032508
26,2288,0.7851889520426065
27,2580,0.7884248794657098
28,2910,0.7921841583363237
29,3283,0.7967025479572799
30,3703,0.8013264971527778
31,4176,0.8053400235403727
32,4711,0.8085689651109602
33,5313,0.8114090367097756
34,5993,0.8159258414162561
35,6760,0.8177367185238096
36,7625,0.8197661492063493
37,8600,0.8223972980808082
38,9700,0.8256699941425121
39,10941,0.82923554520751
40,12341,0.8331693254521072
41,13920,0.8383461611904762
42,15701,0.8416332420922414
43,17709,0.8433156812439655
44,19975,0.8452142903663793
45,22530,0.8473550433706896
46,25413,0.8498716036999999
47,28664,0.8527201560206897
48,32331,0.8546406149125
49,36467,0.8559953100125
50,41133,0.8575235999874999
51,46395,0.8592546900366379
52,52330,0.8612251190087233
53,59025,0.8633969525251437
54,66576,0.8643301346000001
55,75094,0.8652134180215277
56,84701,0.8662679429677682
57,95537,0.8675486290738625
58,107760,0.8691724742193487
59,121546,0.8708963078273786
60,137096,0.8723329450456212
61,154635,0.8733491919794336
62,174418,0.8741032752363165
63,196732,0.8749550926447729
64,221900,0.8759334761123083
65,250289,0.8771865443857558
66,282310,0.8786059632620331
67,318427,0.8793420251854454
68,359164,0.8797498874241955
69,405114,0.8802294600689871
70,456941,0.8808095499624246
71,515400,0.8814686143125
72,581337,0.8825825830325
73,655710,0.8825825830325
74,739597,0.8828559001595536
75,834217,0.8830753509738394
76,940942,0.8833228767416965
77,1061320,0.8836032078227442
78,1197099,0.8840858640203108
79,1350249,0.8847380207413036
80,1522992,0.8854656924593749
81,1717835,0.8854656924593749
82,1937604,0.8854656924593749
83,2185490,0.8855233765771666
84,2465089,0.88592703868455
85,2780458,0.8864921063747092
86,3136173,0.88681015
87,3537396,0.88681015
88,3989950,0.88681015
89,4500400,0.88681015
90,5076155,0.88681015
91,5725568,0.88681015
92,6458064,0.88681015
93,7284270,0.88681015
94,8216176,0.88681015
95,9267306,0.88681015
96,10452910,0.88681015
97,11790193,0.88681015
98,13298561,0.88681015
99,14999900,0.88681015
