,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Emin,-128.47957,-131.17593,-158.08561,-176.58381,-266.69174,-153.77811,-191.41602,-281.7459,-95.42681,-126.35233999999998,-253.61639,-253.18742000000003,-139.24321,-161.11225,-280.9967,-400.26307,-146.39801,-180.70841,-251.30269,-202.26087
top_01%,-128.31764338965382,-131.02091756848088,-157.86540697891814,-176.40548730487282,-266.44071123489204,-153.61768012831877,-191.19841997218205,-281.51987040628705,-95.30264138960942,-126.18971533580567,-253.37798257829837,-252.93838374976048,-139.05833331371636,-160.97213150265296,-280.7172751737728,-399.91684814077087,-146.24956121201114,-180.56045521450562,-251.09007299881878,-202.05951366107226
top_1%,-126.86030389653821,-129.62580568480885,-155.88357978918154,-174.80058304872827,-264.18145234892046,-152.17381128318783,-189.24001972182046,-279.48560406287027,-94.18512389609421,-124.72609335805694,-251.23231578298387,-250.6970574976044,-137.39444313716362,-159.71106502652972,-278.20245173772844,-396.80085140770836,-144.91352212011157,-179.2288621450565,-249.1765199881878,-200.24730661072235
top_5%,-120.3832394826911,-123.42530842404429,-147.07545894590774,-167.66767524364136,-254.14030174460237,-145.7566164159391,-180.5360186091023,-270.4444203143513,-89.21837948047104,-118.22110679028475,-241.69601891491942,-240.73560748802177,-129.99937568581808,-154.10632513264872,-267.0254586886422,-382.95197703854177,-138.97557060055783,-173.31067072528248,-240.67183994093895,-192.19305305361172
