,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Emin,-93.61882,-31.87947,-25.50629,-64.5506,-42.18261,-109.54778,-136.43913999999998,-46.16092,-72.24356,-35.43485,-95.83286,-29.88723,-27.31601,-62.55899,-122.08631,-68.41298,-62.2969,-39.5232,-74.30306,-53.55695
top_01%,-93.52371727228737,-31.84292287484583,-25.456354074005315,-64.48517098666458,-42.11853658797025,-109.42059519715599,-136.3134229483355,-46.089572124062784,-72.1822144074353,-35.384812953241365,-95.7429440024908,-29.834944304281475,-27.2903744839741,-62.48276766906674,-121.97341004424071,-68.35426049699574,-62.21937651508696,-39.47200612127555,-74.20561228670655,-53.493217889346276
top_1%,-92.66779272287368,-31.513998748458263,-25.006930740053132,-63.89630986664585,-41.54187587970248,-108.2759319715599,-135.18196948335523,-45.44744124062785,-71.63010407435293,-34.93447953241369,-94.93370002490806,-29.364373042814762,-27.059654839741036,-61.79676669066738,-120.95731044240715,-67.82578496995727,-61.52166515086953,-39.011261212755485,-73.32858286706555,-52.919628893462786
top_5%,-88.86368361436844,-30.05211374229131,-23.009493700265665,-61.279149333229256,-38.9789393985124,-103.18853985779947,-130.15328741677618,-42.59352620313928,-69.17628037176463,-32.93299766206847,-91.3370601245403,-27.272945214073815,-26.034234198705185,-58.7478734533369,-116.44131221203573,-65.47700484978633,-58.420725754347664,-36.9635060637774,-69.43067433532771,-50.37034446731394
