,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Emin,-857.6373,-1474.96172,-998.06251,-1132.62369,-716.98633,-874.28678,-730.1274,-507.93283,-758.6352400000002,-1006.80872,-511.16329,-983.42562,-1083.36338,-771.35468,-960.03024,-821.20455,-1010.23483,-1107.95493,-1266.0498699999996,-709.59294
top_01%,-856.7102387624352,-1473.693929777868,-997.0978420914752,-1131.509700819126,-716.3297829466151,-873.3043608832809,-729.3245777954531,-507.4169018764193,-757.6658454244792,-1005.8846016241821,-510.6256142533814,-982.4931081312546,-1082.4078761827507,-770.4496247540219,-959.1492476471317,-820.4041141027919,-1009.2076923156172,-1106.8651343229262,-1264.8198976169767,-708.8268524763918
top_1%,-848.3666876243522,-1462.2838177786819,-988.4158309147522,-1121.4837981912606,-710.4208594661509,-864.462588832808,-722.0991779545317,-502.7735487641927,-748.9412942447905,-997.5675362418212,-505.78653253381384,-974.100501312547,-1073.8083418275062,-762.3041275402185,-951.2203164713162,-813.2001910279188,-999.9634531561724,-1097.0569732292604,-1253.75014616977,-701.9320647639172
top_5%,-811.2842381217606,-1411.5722088934094,-949.8291145737609,-1076.9242309563028,-684.1589773307549,-825.1658241640403,-689.9862897726588,-482.13642382096344,-710.1655112239519,-960.6028012091065,-484.27950266906913,-936.8000265627348,-1035.588189137531,-726.1019177010922,-915.9806223565811,-781.182755139594,-958.8779457808621,-1053.465146146302,-1204.551250848852,-671.288563819586
