,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Emin,-698.26099,-484.68804000000006,-1155.05903,-824.07824,-580.09448,-645.56719,-552.97127,-680.91864,-293.06952,-725.69079,-728.52541,-434.11613,-1151.39146,-584.58196,-734.39536,-610.34288,-707.28337,-634.93827,-571.8534,-504.35036
top_01%,-697.5694313675378,-484.15391565986846,-1154.0567095047713,-823.3525779242677,-579.4517303725006,-644.9649225326872,-552.3878737207739,-680.2844398464632,-292.72762700693323,-725.0420070947105,-727.8673057514399,-433.60961288099355,-1150.3377375696255,-584.101929236791,-733.6407525890255,-609.7612149418298,-706.5727007940833,-634.3202734579797,-571.2798843475135,-503.82128980231806
top_1%,-691.3454036753789,-479.3467965986841,-1145.0358250477143,-816.8216192426771,-573.666983725006,-639.5445153268721,-547.1373072077384,-674.5766384646329,-289.6505900693323,-719.2029609471052,-721.9443675143993,-429.0509588099353,-1140.854235696255,-579.7816523679096,-726.8492858902555,-604.5262294182983,-700.1766779408329,-628.758304579797,-566.118243475136,-499.05965802318036
top_5%,-663.6830583768946,-457.9818229934201,-1104.9430052385724,-787.7951362133856,-547.9569986250303,-615.4538166343607,-523.8014560386923,-649.2086323231644,-275.97487034666125,-693.2516447355262,-695.6201975719969,-408.79027404967655,-1098.7053384812748,-560.5804218395482,-696.6649894512776,-581.2596270914912,-671.7499097041643,-604.0384428989851,-543.17761737568,-477.89685011590166
