resource,iterations,shots,rounds
100,1.0,100.0,1.0
113,1.0,100.0,1.0
127,1.0,100.0,1.0
143,1.0,100.0,1.0
162,1.0,100.0,1.0
183,1.0,100.0,1.0
206,1.6,100.0,1.0
232,1.8,100.0,1.0
262,1.8,100.0,1.0
295,1.8,100.0,1.0
333,3.0,100.0,1.0
376,3.0,100.0,1.0
424,3.8,100.0,1.8
478,3.8,100.0,1.8
539,4.4,100.0,2.0
608,5.0,100.0,1.4
686,5.2,100.0,1.6
774,7.0,100.0,1.0
873,8.0,100.0,1.0
985,9.0,100.0,1.0
1111,10.8,100.0,1.0
1253,12.0,100.0,1.2
1413,14.0,100.0,1.8
1594,14.6,100.0,2.0
1798,17.0,100.0,2.0
2028,19.4,100.0,2.0
2288,20.6,100.0,2.0
2580,20.0,100.0,2.0
2910,19.4,100.0,2.0
3283,19.4,100.0,2.0
3703,19.2,100.0,2.0
4176,21.2,100.0,2.0
4711,23.4,100.0,2.0
5313,26.0,100.0,2.6
5993,28.8,100.0,3.2
6760,28.8,100.0,3.2
7625,28.8,100.0,3.2
8600,26.0,100.0,3.2
9700,24.8,100.0,3.2
10941,27.2,100.0,3.8
12341,28.6,100.0,4.4
13920,29.6,100.0,5.0
15701,29.8,100.0,5.0
17709,29.8,100.0,5.0
19975,29.8,100.0,5.0
22530,29.8,100.0,5.0
25413,30.0,100.0,5.0
28664,29.8,100.0,5.0
32331,30.0,100.0,5.0
36467,30.0,100.0,5.0
41133,30.0,100.0,5.0
46395,29.8,100.0,5.0
52330,29.8,100.0,5.0
59025,29.8,100.0,5.0
66576,30.0,100.0,5.0
75094,30.0,100.0,5.0
84701,30.0,100.0,5.0
95537,30.0,120.0,5.0
107760,29.0,140.0,5.0
121546,29.8,160.0,5.0
137096,29.8,160.0,5.0
154635,30.0,160.0,5.0
174418,29.0,160.0,5.0
196732,28.6,160.0,5.0
221900,28.8,180.0,5.0
250289,28.8,180.0,5.0
282310,28.4,180.0,5.0
318427,28.8,180.0,5.0
359164,28.8,180.0,5.0
405114,28.4,180.0,5.0
456941,28.0,180.0,5.0
515400,28.4,180.0,5.0
581337,29.0,180.0,5.0
655710,29.0,180.0,5.0
739597,29.4,340.0,5.0
834217,29.4,340.0,5.0
940942,29.4,340.0,5.0
1061320,29.4,340.0,5.0
1197099,29.4,340.0,5.0
1350249,29.4,340.0,5.0
1522992,29.4,340.0,5.0
1717835,29.4,340.0,5.0
1937604,29.4,340.0,5.0
2185490,29.4,500.0,5.0
2465089,29.4,500.0,5.0
2780458,29.4,500.0,5.0
3136173,29.4,500.0,5.0
3537396,29.4,500.0,5.0
3989950,29.4,880.0,5.0
4500400,29.4,880.0,5.0
5076155,29.4,880.0,5.0
5725568,29.4,880.0,5.0
6458064,29.4,880.0,5.0
7284270,29.4,880.0,5.0
8216176,29.4,880.0,5.0
9267306,29.4,880.0,5.0
10452910,29.4,880.0,5.0
11790193,29.4,880.0,5.0
13298561,29.4,880.0,5.0
14999900,29.4,880.0,5.0
