,12,16,20,24,28,32,36,40,44
avg,"[2.0536506302800555, 1.2644633197360131, 1.4406350056409198, 0.9446056012325885, 3.2631382039290266, 0.9837308338019494, 1.3834006402838257, 0.9674978148489825, 2.6629513719316353, 1.0057475767447586, 1.2635793779702813, 2.911306086207711, 4.070909007550256, 1.278905377349765, 1.090709642811662, 1.2618084354856502, 2.41579801729468, 1.12914127510204, 0.9627198607909534, 1.3814659299259155]","[5.236261379465995, 139.81965757003397, 1.0534732237942734, 5.877617919004539, 2.3564555536153993, 7.2925718988156065, 6.274931000272942, 2.2359114278854944, 9.88434661531008, 0.92543282906712, 8.205318358263847, 3.509565141799061, 4.442671060863953, 3.9719451087246216, 2.4291594335688003, 10.889076607883517, 1.6303888139589897, 1.071546580300589, 4.29091641620542, 2.168280515221846]","[5.247273398747291, 17.94287999487847, 5.182060099526982, 60.266691021032656, 1.741035504170902, 2.9130966624494037, 1.514842402780427, 10.107897899270625, 30.16123091256004, 28.349889048269343, 5.929903088676107, 10.58040951537959, 3.7999809228246444, 21.20620191800637, 4.466093473676075, 4.397775461850001, 7.929403446831576, 26.964198485912753, 1.1051749085607847, 2.1289549295025627]","[6.646412848063594, 3.7022942692464813, 1.9962350366107977, 496.4487488186198, 9.394350587701659, 3.152648551587059, 17267.085510013483, 2.048187310948655, 3.7043597605184067, 3.9956684071228223, 15.137728746985225, 21.48858920610145, 36.93166266517328, 38.2015321114839, 20.352234438131955, 10.358710591810134, 1.5960336096097283, 46.477454761968964, 233.44941041757326, 5.38443823159216]","[559.3003753136135, 25.40333688007448, 1379.2471893529719, 861.1647725609878, 12.562490447900693, 193.93134967563785, 3.607868606206799, 2.799384786514334, 2.6058219959292774, 146.72000356752952, 40.895243368407286, 43.25230680689949, 35.84417138609316, 96.78611814818439, 1662.2156960211337, 185.14391502413443, 14.228650835951639, 17.751888486595316, 36.42384585139926, 9.653058052807511]","[2937.1671446866894, 253.5332323744527, 8.968271438152685, 115.86445947734518, 81.25407206383747, 382.5259580156849, 4184.215343432369, 18.04884936283786, 101.01208532197106, 254.96256077073025, 25.39214249248988, 14.826233720966044, 164.94469761957967, 8.10540330302344, 2029.3892731666792, 2817.188738184627, 19.010663216870697, 685.033668766235, 35.35352746930535, 475.73904808889864]","[86.18114071673446, 29.200798328002076, 10.634468494869664, 494.6546535553441, 118.97764953802431, 57.57787136549495, 46.11757233875579, 228.3325890933415, 188.24679311300102, 75.20203329891073, 279.06604247581316, 29.186352387185575, 529.0598651496153, 380.39389243567757, 113.68111823774478, 376.1998557258299, 257.8696680367631, 85.61764337842777, 820.0470787151739, 2421.4704671605095]","[652.4582397839257, 96.85727798146932, 332.2080892070914, 33.022943244108184, 22.34190197348459, 5114.5528315726515, 42.716423728120155, 53.55240536068161, 185.6540257287792, 453.65096334599764, 125.01517309117507, 3137.5856148135354, 61.86732072075631, 1339.0077997065966, 1916.51740359445, 11.847427989142542, 272.3531636719484, 517.0740931913997, 94.76598059073713, 267.52499941563235]","[8124.468113827873, 69075.25017915084, 19734.140979588432, 59.928002051111854, 2556.1246046135316, 11510.622726342119, 1768.9157181239495, 9999999, 69075.25017915084, 1158.6631633941606, 5311.354989076418, 7269.018518075873, 3287.104152966609, 598.3688334668765, 1242.336583154074, 1724.6352099145586, 2090.9557451449514, 283.1356060671624, 401.6553118933169, 515.1288364787986]"
elite,"[1.0912964027654983, 1.18565165343726, 1.4406350056409198, 0.9236307916394284, 2.138938816902727, 0.9513060179355173, 1.1351034800351505, 0.9513060179355173, 1.305779071007127, 0.8184319051879281, 1.1046042103964406, 2.5472639996858852, 2.1494854736357825, 1.1557439816249362, 0.836553568200131, 0.9030690129921549, 1.1836695409132882, 0.9594975450051776, 0.9125903005993898, 1.1209038656626054]","[3.054568325411333, 3.4176716699807113, 0.8912158954483518, 2.5894313510211218, 2.3564555536153993, 1.7292667356304532, 2.9920512616064427, 1.0660137778394698, 2.3028520707429547, 0.92543282906712, 3.6837439146147664, 1.2506454087805892, 1.9820241051868217, 1.9394769898795725, 1.8169812681551172, 4.125132589381365, 1.6303888139589897, 0.8891913917584799, 4.29091641620542, 0.8756580244661301]","[5.247273398747291, 4.007391547071175, 5.182060099526982, 2.4217671119432427, 1.741035504170902, 2.9130966624494037, 1.0901221805775811, 2.4764170169325905, 1.5259125034313743, 1.4424700947888718, 3.9086596662139907, 5.45856146203986, 2.587994685855007, 3.1591623290515614, 4.466093473676075, 1.6183535958634627, 1.7625826329634058, 10.373264318838272, 1.1051749085607847, 1.1964438840984808]","[1.8332156097758203, 2.0585358755447025, 1.9962350366107977, 3.262822122821634, 3.506254821618344, 2.3967626736428267, 12.37204741770625, 2.048187310948655, 3.7043597605184067, 1.5754396677584586, 3.6512779418019754, 3.985434517252296, 12.883860355459168, 5.82860109415088, 8.39021847487761, 2.1719800899096806, 1.2533396818563207, 1.832315666382638, 16.45866971235408, 2.4912452479560367]","[30.107623362417726, 6.591726386173294, 6.007997185650669, 121.03558661269932, 5.607283558718818, 7.017543057237208, 2.5132272761564733, 2.1617331823262136, 1.8227019932645045, 21.11755325214947, 3.716771056690481, 2.1392239636794383, 3.1576107698764058, 5.561457570673236, 16.243241858088282, 22.346342849609925, 3.450958441444807, 4.494521323951232, 6.371451249707212, 3.6261356580696265]","[7.351527886986582, 11.92425743752607, 5.833480417995853, 21.91853343668114, 11.943970013222293, 4.0162030888392835, 26.27524441363426, 18.04884936283786, 41.34699738404742, 11.610042312858514, 4.843489668293367, 5.61349627929367, 11.089768975210172, 2.822342767848296, 125.48638951957226, 265.9531107175859, 10.166475184299923, 21.81173984030107, 16.568233729617994, 30.62016994274238]","[27.831781823160128, 29.200798328002076, 272.90031261355944, 7.769833330181151, 17.991188123210534, 25.32516411900591, 4.5194379795338895, 33.19620261827855, 25.153614588957602, 16.536801898184596, 152.2217173312116, 9.297080036178885, 16.322178008024782, 14.342839174449857, 13.689339793603649, 7.283892820215469, 30.533629173212468, 10.932443796073544, 151.87674472863588, 99.56396129778354]","[218.0323803933044, 44.553581879380516, 128.14170236888387, 11.553686751418667, 22.34190197348459, 32.94145911327185, 31.477956477340626, 53.55240536068161, 185.6540257287792, 252.5891369919419, 26.796600651437657, 88.3899004940143, 45.39695247853136, 9999999, 1916.51740359445, 9.082191308890557, 186.68262061250377, 8.181450323008637, 25.549684963575853, 118.97764953802431]","[1006.1270859593233, 5523.90131815578, 289.77399168788156, 42.51140443609165, 213.89432553358614, 178.75581875454202, 998.8195989953366, 449.1807535551174, 2654.525702593244, 1158.6631633941606, 251.65198329390668, 2875.9281666350726, 3287.104152966609, 533.1790056131167, 47.971980751875336, 123.85219200382754, 1642.3999767131425, 90.9630008610617, 352.84691929358763, 75.37650414735656]"
opt,"[1.0912964027654983, 1.18565165343726, 1.4406350056409198, 0.9236307916394284, 2.138938816902727, 0.9513060179355173, 1.1351034800351505, 0.9488091840140235, 1.305779071007127, 0.817081087643066, 1.1046042103964406, 2.5472639996858852, 2.1494854736357825, 1.1557439816249362, 0.836553568200131, 0.9030690129921549, 1.1836695409132882, 0.9594975450051776, 0.9125903005993898, 1.1209038656626054]","[3.054568325411333, 3.4176716699807113, 0.8912158954483518, 2.5894313510211218, 2.3564555536153993, 1.7292667356304532, 2.9920512616064427, 1.0660137778394698, 2.3028520707429547, 0.92543282906712, 3.6837439146147664, 1.2506454087805892, 1.9820241051868217, 1.9394769898795725, 1.8169812681551172, 4.125132589381365, 1.6303888139589897, 0.8891913917584799, 4.29091641620542, 0.8756580244661301]","[5.247273398747291, 4.007391547071175, 5.034575963074868, 2.4217671119432427, 1.741035504170902, 2.9130966624494037, 1.0901221805775811, 2.4764170169325905, 1.5259125034313743, 1.4424700947888718, 3.9086596662139907, 5.45856146203986, 2.587994685855007, 3.1591623290515614, 4.466093473676075, 1.6183535958634627, 1.7625826329634058, 10.373264318838272, 1.1051749085607847, 1.1964438840984808]","[1.8332156097758203, 2.0585358755447025, 1.9962350366107977, 3.262822122821634, 3.506254821618344, 2.3967626736428267, 12.37204741770625, 2.048187310948655, 3.7043597605184067, 1.5754396677584586, 3.6512779418019754, 3.985434517252296, 12.883860355459168, 5.82860109415088, 8.39021847487761, 2.1719800899096806, 1.2533396818563207, 1.832315666382638, 16.45866971235408, 2.4912452479560367]","[30.107623362417726, 6.591726386173294, 6.007997185650669, 22.54783448321388, 5.607283558718818, 7.017543057237208, 2.5132272761564733, 2.1617331823262136, 1.8227019932645045, 21.11755325214947, 3.716771056690481, 2.1392239636794383, 3.1576107698764058, 5.561457570673236, 16.243241858088282, 22.346342849609925, 3.450958441444807, 4.494521323951232, 6.371451249707212, 3.6261356580696265]","[7.351527886986582, 11.92425743752607, 5.833480417995853, 21.91853343668114, 11.943970013222293, 4.0162030888392835, 26.27524441363426, 18.04884936283786, 41.34699738404742, 11.610042312858514, 4.843489668293367, 5.61349627929367, 11.089768975210172, 2.822342767848296, 125.48638951957226, 265.9531107175859, 10.166475184299923, 21.81173984030107, 16.568233729617994, 30.62016994274238]","[27.831781823160128, 29.200798328002076, 7.783286976977907, 7.769833330181151, 17.991188123210534, 25.32516411900591, 4.5194379795338895, 33.19620261827855, 25.153614588957602, 16.536801898184596, 152.2217173312116, 9.297080036178885, 16.322178008024782, 14.342839174449857, 12.837618014420144, 7.283892820215469, 30.533629173212468, 10.932443796073544, 151.87674472863588, 99.56396129778354]","[218.0323803933044, 44.553581879380516, 128.14170236888387, 11.553686751418667, 22.34190197348459, 32.94145911327185, 27.13372375337483, 53.55240536068161, 185.6540257287792, 197.046462750641, 26.796600651437657, 88.3899004940143, 37.38414925721522, 242.2124292263393, 1916.51740359445, 9.082191308890557, 186.68262061250377, 8.181450323008637, 25.549684963575853, 64.21859932028079]","[1006.1270859593233, 5523.90131815578, 289.77399168788156, 36.93166266517328, 213.89432553358614, 178.75581875454202, 998.8195989953366, 449.1807535551174, 2156.3701200175565, 1158.6631633941606, 251.65198329390668, 2875.9281666350726, 3287.104152966609, 533.1790056131167, 47.971980751875336, 123.85219200382754, 1642.3999767131425, 73.49944472390739, 346.5688447456357, 75.37650414735656]"
stoch,"[1.0912964027654983, 1.18565165343726, 1.4406350056409198, 0.9236307916394284, 2.138938816902727, 0.9513060179355173, 5.1962626782358114, 0.9488091840140235, 1.305779071007127, 0.817081087643066, 1.1046042103964406, 2.5472639996858852, 2.1494854736357825, 1.1557439816249362, 0.836553568200131, 0.9030690129921549, 1.1836695409132882, 0.9594975450051776, 0.9125903005993898, 1.1209038656626054]","[3.054568325411333, 3.4176716699807113, 0.8912158954483518, 2.5894313510211218, 2.3564555536153993, 1.7292667356304532, 2.9920512616064427, 1.0660137778394698, 2.3028520707429547, 0.92543282906712, 3.6837439146147664, 1.2506454087805892, 1.9820241051868217, 1.9394769898795725, 1.8169812681551172, 4.125132589381365, 1.6303888139589897, 0.8891913917584799, 4.29091641620542, 0.8756580244661301]","[5.247273398747291, 4.007391547071175, 5.034575963074868, 2.4217671119432427, 1.741035504170902, 2.9130966624494037, 1.0901221805775811, 2.4764170169325905, 1.5259125034313743, 9.739501133487341, 3.9086596662139907, 5.45856146203986, 2.587994685855007, 3.1591623290515614, 4.466093473676075, 1.6183535958634627, 1.7625826329634058, 10.373264318838272, 1.1051749085607847, 1.1964438840984808]","[1.8332156097758203, 2.0585358755447025, 1.9962350366107977, 3.262822122821634, 3.506254821618344, 2.3967626736428267, 12.37204741770625, 2.048187310948655, 3.7043597605184067, 1.5754396677584586, 3.6512779418019754, 3.985434517252296, 12.883860355459168, 21.987373620707476, 8.39021847487761, 2.1719800899096806, 1.2533396818563207, 1.832315666382638, 16.45866971235408, 2.4912452479560367]","[30.107623362417726, 6.591726386173294, 6.007997185650669, 22.54783448321388, 23.75911703827837, 7.017543057237208, 2.6023693728928587, 2.1617331823262136, 1.8227019932645045, 21.11755325214947, 3.716771056690481, 2.1392239636794383, 3.1576107698764058, 5.561457570673236, 16.243241858088282, 22.346342849609925, 57.603877039056584, 4.494521323951232, 6.371451249707212, 3.6261356580696265]","[7.351527886986582, 11.92425743752607, 5.833480417995853, 21.91853343668114, 11.943970013222293, 4.0162030888392835, 26.27524441363426, 18.04884936283786, 41.34699738404742, 11.610042312858514, 4.843489668293367, 5.61349627929367, 11.089768975210172, 2.822342767848296, 125.48638951957226, 265.9531107175859, 10.166475184299923, 21.81173984030107, 16.568233729617994, 30.62016994274238]","[27.831781823160128, 29.200798328002076, 7.783286976977907, 7.769833330181151, 17.991188123210534, 25.32516411900591, 4.5194379795338895, 33.19620261827855, 25.153614588957602, 16.536801898184596, 152.2217173312116, 9.297080036178885, 16.322178008024782, 14.342839174449857, 12.837618014420144, 7.283892820215469, 30.533629173212468, 10.932443796073544, 151.87674472863588, 99.56396129778354]","[218.0323803933044, 44.553581879380516, 128.14170236888387, 11.553686751418667, 22.34190197348459, 32.94145911327185, 28.521932285207406, 53.55240536068161, 185.6540257287792, 197.046462750641, 26.796600651437657, 88.3899004940143, 37.38414925721522, 385.7689729488252, 1916.51740359445, 9.082191308890557, 229.8831818991436, 8.181450323008637, 29.215257446883335, 64.21859932028079]","[1006.1270859593233, 5523.90131815578, 289.77399168788156, 36.93166266517328, 213.89432553358614, 178.75581875454202, 998.8195989953366, 449.1807535551174, 2156.3701200175565, 1158.6631633941606, 251.65198329390668, 2875.9281666350726, 3287.104152966609, 533.1790056131167, 47.971980751875336, 123.85219200382754, 1642.3999767131425, 73.49944472390739, 352.84691929358763, 75.37650414735656]"
