,prob,eng
0,0.0017333333333333333,-758.63524
1,0.009033333333333334,-714.63524
2,0.0023,-705.61988
3,0.00013333333333333334,-702.62486
4,0.0001,-701.51433
5,3.3333333333333335e-05,-698.84715
6,0.00016666666666666666,-698.83079
7,3.3333333333333335e-05,-698.65087
8,3.3333333333333335e-05,-698.41042
9,6.666666666666667e-05,-695.31976
10,0.0015333333333333334,-695.28036
11,0.00023333333333333333,-695.2407
12,6.666666666666667e-05,-694.21628
13,6.666666666666667e-05,-693.71633
14,3.3333333333333335e-05,-693.46401
15,0.0015666666666666667,-693.11648
16,6.666666666666667e-05,-692.01058
17,0.0001,-691.30734
18,0.0019666666666666665,-690.97882
19,3.3333333333333335e-05,-690.893
20,0.0001,-690.72304
21,6.666666666666667e-05,-690.17902
22,6.666666666666667e-05,-690.146
23,3.3333333333333335e-05,-689.87639
24,6.666666666666667e-05,-689.57053
25,3.3333333333333335e-05,-689.48955
26,0.00013333333333333334,-689.21144
27,0.0002666666666666667,-688.78349
28,3.3333333333333335e-05,-688.73591
29,6.666666666666667e-05,-687.99989
30,3.3333333333333335e-05,-687.9516
31,0.00013333333333333334,-687.85506
32,6.666666666666667e-05,-687.32008
33,0.00036666666666666667,-687.21568
34,3.3333333333333335e-05,-687.17756
35,0.00013333333333333334,-686.71822
36,0.0001,-685.99771
37,3.3333333333333335e-05,-684.84203
38,3.3333333333333335e-05,-683.84671
39,0.00013333333333333334,-683.66894
40,0.0001,-683.66588
41,3.3333333333333335e-05,-683.63858
42,0.001,-683.60613
43,3.3333333333333335e-05,-683.34422
44,0.0001,-683.00545
45,0.0002666666666666667,-682.64039
46,0.0059,-682.58118
47,3.3333333333333335e-05,-682.10533
48,6.666666666666667e-05,-681.81187
49,3.3333333333333335e-05,-681.62195
50,0.0001,-681.0175
51,3.3333333333333335e-05,-680.97366
52,3.3333333333333335e-05,-680.69128
53,3.3333333333333335e-05,-680.59902
54,0.0005333333333333334,-680.53518
55,0.0015,-680.38477
56,0.0002,-680.0378
57,0.0001,-679.76538
58,3.3333333333333335e-05,-679.67981
59,6.666666666666667e-05,-679.50188
60,3.3333333333333335e-05,-679.36623
61,0.0018666666666666666,-679.11575
62,0.00023333333333333333,-679.00612
63,3.3333333333333335e-05,-678.74592
64,0.0001,-678.46431
65,0.0007,-678.41048
66,3.3333333333333335e-05,-678.3684
67,0.0001,-678.23594
68,0.00023333333333333333,-678.16905
69,0.0005666666666666667,-677.61922
70,6.666666666666667e-05,-677.56341
71,6.666666666666667e-05,-677.37563
72,0.00016666666666666666,-676.92935
73,3.3333333333333335e-05,-676.91103
74,3.3333333333333335e-05,-676.6917
75,0.0002,-676.5309
76,3.3333333333333335e-05,-675.86263
77,3.3333333333333335e-05,-675.81964
78,6.666666666666667e-05,-675.77112
79,3.3333333333333335e-05,-675.67477
80,3.3333333333333335e-05,-675.67025
81,3.3333333333333335e-05,-675.62407
82,3.3333333333333335e-05,-675.38878
83,3.3333333333333335e-05,-675.37577
84,3.3333333333333335e-05,-674.71284
85,3.3333333333333335e-05,-674.64378
86,6.666666666666667e-05,-674.3015
87,3.3333333333333335e-05,-674.06065
88,3.3333333333333335e-05,-673.63768
89,3.3333333333333335e-05,-673.61511
90,0.0001,-673.40393
91,3.3333333333333335e-05,-673.26056
92,3.3333333333333335e-05,-673.0695
93,0.0001,-672.87409
94,0.00016666666666666666,-672.75869
95,3.3333333333333335e-05,-672.71361
96,6.666666666666667e-05,-672.58574
97,3.3333333333333335e-05,-672.44018
98,3.3333333333333335e-05,-672.06789
99,0.0005333333333333334,-671.76704
100,3.3333333333333335e-05,-671.75283
101,6.666666666666667e-05,-671.73569
102,3.3333333333333335e-05,-671.61682
103,3.3333333333333335e-05,-671.51415
104,0.00036666666666666667,-671.46943
105,0.0008333333333333334,-671.3718
106,3.3333333333333335e-05,-671.31361
107,0.0001,-671.19276
108,3.3333333333333335e-05,-671.08687
109,3.3333333333333335e-05,-670.77115
110,6.666666666666667e-05,-670.70927
111,3.3333333333333335e-05,-670.64471
112,0.0016333333333333334,-670.63524
113,0.00016666666666666666,-670.52584
114,0.0016,-670.47029
115,0.0002,-670.03602
116,3.3333333333333335e-05,-669.64558
117,3.3333333333333335e-05,-669.61706
118,3.3333333333333335e-05,-669.3767
119,3.3333333333333335e-05,-669.16673
120,3.3333333333333335e-05,-669.14416
121,3.3333333333333335e-05,-668.88896
122,3.3333333333333335e-05,-668.88238
123,3.3333333333333335e-05,-668.8038
124,6.666666666666667e-05,-668.6504
125,3.3333333333333335e-05,-668.21776
126,6.666666666666667e-05,-668.01742
127,3.3333333333333335e-05,-667.92358
128,0.00016666666666666666,-667.81846
129,3.3333333333333335e-05,-667.76647
130,3.3333333333333335e-05,-667.73648
131,3.3333333333333335e-05,-667.48872
132,6.666666666666667e-05,-667.48721
133,0.00013333333333333334,-667.44468
134,0.0008333333333333334,-666.84726
135,0.00016666666666666666,-666.80109
136,3.3333333333333335e-05,-666.65915
137,0.0019666666666666665,-666.64233
138,3.3333333333333335e-05,-666.6282
139,0.0006,-666.54381
140,3.3333333333333335e-05,-666.45217
141,0.0001,-666.38097
142,3.3333333333333335e-05,-666.34549
143,3.3333333333333335e-05,-666.24768
144,3.3333333333333335e-05,-665.88081
145,3.3333333333333335e-05,-665.73905
146,0.0002,-665.59862
147,0.0001,-665.56957
148,0.0001,-665.45971
149,6.666666666666667e-05,-665.15237
150,6.666666666666667e-05,-665.02169
151,0.0001,-665.01295
152,6.666666666666667e-05,-664.85719
153,3.3333333333333335e-05,-664.77496
154,0.00013333333333333334,-664.72515
155,0.0001,-664.62798
156,0.0003333333333333333,-664.44904
157,0.0001,-664.41177
158,0.00013333333333333334,-664.37974
159,0.0002666666666666667,-664.30215
160,0.0019666666666666665,-664.17971
161,0.0001,-663.92801
162,0.0004333333333333333,-663.81475
163,3.3333333333333335e-05,-663.74304
164,0.00013333333333333334,-663.48767
165,0.00013333333333333334,-663.47118
166,6.666666666666667e-05,-663.3466
167,6.666666666666667e-05,-663.33876
168,0.0001,-663.29928
169,6.666666666666667e-05,-663.27137
170,3.3333333333333335e-05,-663.17954
171,0.0001,-663.07117
172,0.0002,-662.87143
173,6.666666666666667e-05,-662.75555
174,3.3333333333333335e-05,-662.72036
175,3.3333333333333335e-05,-662.4513
176,3.3333333333333335e-05,-662.41575
177,3.3333333333333335e-05,-662.41234
178,0.00016666666666666666,-662.30718
179,3.3333333333333335e-05,-662.29248
180,0.0001,-662.26762
181,6.666666666666667e-05,-662.25045
182,0.0003,-662.11583
183,3.3333333333333335e-05,-661.99963
184,3.3333333333333335e-05,-661.99306
185,0.0009666666666666667,-661.7453
186,0.00016666666666666666,-661.68371
187,3.3333333333333335e-05,-661.67412
188,3.3333333333333335e-05,-661.63972
189,3.3333333333333335e-05,-661.60724
190,0.0004,-661.58406
191,3.3333333333333335e-05,-661.44973
192,3.3333333333333335e-05,-661.36392
193,3.3333333333333335e-05,-661.14418
194,3.3333333333333335e-05,-661.04758
195,0.00046666666666666666,-661.02267
196,6.666666666666667e-05,-660.95416
197,3.3333333333333335e-05,-660.91837
198,0.00013333333333333334,-660.90717
199,0.0001,-660.76699
200,3.3333333333333335e-05,-660.6144
201,3.3333333333333335e-05,-660.53141
202,3.3333333333333335e-05,-660.52498
203,0.0001,-660.50436
204,3.3333333333333335e-05,-660.40791
205,3.3333333333333335e-05,-660.38594
206,0.0001,-660.30615
207,0.0001,-660.30236
208,3.3333333333333335e-05,-660.25595
209,6.666666666666667e-05,-660.23112
210,3.3333333333333335e-05,-660.19606
211,3.3333333333333335e-05,-660.19589
212,3.3333333333333335e-05,-660.10251
213,3.3333333333333335e-05,-660.08518
214,0.00016666666666666666,-659.96037
215,3.3333333333333335e-05,-659.90529
216,6.666666666666667e-05,-659.86056
217,6.666666666666667e-05,-659.65105
218,3.3333333333333335e-05,-659.62523
219,3.3333333333333335e-05,-659.61157
220,3.3333333333333335e-05,-659.60307
