,12,16,20,24,28,32,36,40,44
avg,"[3, 2, 2, 2, 4, 1, 2, 2, 3, 2, 2, 4, 5, 2, 2, 2, 3, 2, 2, 2]","[5, 146, 2, 6, 3, 8, 8, 3, 11, 1, 9, 4, 5, 4, 3, 11, 2, 2, 5, 3]","[6, 18, 5, 65, 2, 3, 2, 11, 34, 30, 6, 11, 4, 20, 5, 4, 9, 27, 2, 3]","[7, 4, 3, 494, 10, 3, 16243, 2, 4, 5, 14, 20, 40, 35, 22, 10, 2, 50, 231, 6]","[511, 23, 1240, 696, 12, 189, 4, 3, 3, 134, 39, 47, 33, 91, 1621, 191, 15, 17, 38, 10]","[2526, 245, 9, 110, 71, 327, 3904, 17, 94, 217, 23, 16, 157, 8, 1853, 2344, 17, 615, 31, 471]","[74, 27, 9, 420, 105, 52, 42, 198, 191, 66, 243, 28, 406, 356, 96, 338, 220, 76, 737, 2192]","[563, 80, 284, 26, 20, 4501, 35, 47, 156, 379, 106, 2977, 52, 1030, 1700, 11, 235, 463, 86, 225]","[6810, 53208, 16371, 49, 2335, 9462, 1538, 9999999, 57299, 972, 5084, 6106, 2734, 505, 1056, 1501, 1708, 228, 313, 454]"
elite,"[2, 2, 2, 2, 3, 1, 2, 2, 2, 1, 2, 3, 3, 2, 1, 2, 2, 2, 1, 2]","[3, 4, 1, 3, 3, 3, 4, 2, 3, 1, 4, 2, 3, 3, 2, 4, 2, 1, 5, 1]","[6, 5, 5, 3, 2, 3, 2, 3, 2, 2, 4, 6, 3, 4, 5, 2, 2, 10, 2, 2]","[2, 2, 3, 4, 4, 3, 12, 2, 4, 2, 4, 4, 13, 6, 9, 3, 2, 3, 17, 3]","[28, 6, 6, 99, 6, 8, 3, 2, 2, 20, 4, 3, 3, 6, 16, 24, 4, 5, 7, 4]","[7, 12, 6, 21, 11, 4, 25, 17, 39, 10, 5, 7, 11, 3, 115, 218, 9, 20, 15, 31]","[25, 27, 213, 7, 16, 23, 5, 30, 26, 15, 133, 9, 13, 15, 12, 7, 27, 10, 137, 91]","[189, 37, 112, 10, 20, 29, 26, 47, 156, 211, 23, 84, 38, 9999999, 1700, 9, 162, 8, 24, 100]","[844, 4203, 241, 34, 196, 148, 869, 434, 2200, 972, 242, 2408, 2734, 450, 42, 109, 1341, 74, 275, 67]"
opt,"[2, 2, 2, 2, 3, 1, 2, 2, 2, 1, 2, 3, 3, 2, 1, 2, 2, 2, 1, 2]","[3, 4, 1, 3, 3, 3, 4, 2, 3, 1, 4, 2, 3, 3, 2, 4, 2, 1, 5, 1]","[6, 5, 5, 3, 2, 3, 2, 3, 2, 2, 4, 6, 3, 4, 5, 2, 2, 10, 2, 2]","[2, 2, 3, 4, 4, 3, 12, 2, 4, 2, 4, 4, 13, 6, 9, 3, 2, 3, 17, 3]","[28, 6, 6, 19, 6, 8, 3, 2, 2, 20, 4, 3, 3, 6, 16, 24, 4, 5, 7, 4]","[7, 12, 6, 21, 11, 4, 25, 17, 39, 10, 5, 7, 11, 3, 115, 218, 9, 20, 15, 31]","[25, 27, 7, 7, 16, 23, 5, 30, 26, 15, 133, 9, 13, 15, 11, 7, 27, 10, 137, 91]","[189, 37, 112, 10, 20, 29, 22, 47, 156, 165, 23, 84, 32, 187, 1700, 9, 162, 8, 24, 54]","[844, 4203, 241, 30, 196, 148, 869, 434, 1787, 972, 242, 2408, 2734, 450, 42, 109, 1341, 60, 270, 67]"
stoch,"[2, 2, 2, 2, 3, 1, 5, 2, 2, 1, 2, 3, 3, 2, 1, 2, 2, 2, 1, 2]","[3, 4, 1, 3, 3, 2, 4, 2, 3, 1, 4, 2, 3, 3, 2, 4, 2, 1, 5, 1]","[6, 5, 5, 3, 2, 3, 2, 3, 2, 11, 4, 6, 3, 4, 5, 2, 2, 10, 2, 2]","[2, 2, 3, 4, 4, 3, 12, 2, 4, 2, 4, 4, 13, 21, 12, 3, 2, 3, 17, 3]","[28, 6, 6, 19, 23, 8, 4, 2, 2, 20, 4, 3, 3, 6, 18, 24, 56, 5, 7, 4]","[8, 12, 6, 21, 11, 4, 25, 17, 54, 10, 5, 7, 11, 3, 115, 262, 9, 20, 15, 31]","[25, 27, 7, 10, 16, 25, 5, 35, 26, 15, 145, 9, 13, 14, 12, 7, 27, 10, 289, 91]","[563, 126, 165, 10, 20, 29, 31, 47, 156, 165, 23, 84, 32, 1475, 2075, 9, 199, 8, 27, 61]","[1837, 4203, 241, 30, 196, 148, 3430, 434, 2200, 972, 628, 2408, 11385, 505, 42, 109, 1341, 60, 275, 67]"
