,12,16,20,24,28,32,36,40,44
0,0.184243,0.34669,0.769518,1.501588,1.501524,1.931501,2.717041,2.470841,3.397385
1,0.267027,0.382101,0.73795,0.915783,1.46818,2.551975,2.935735,2.379924,2.636622
2,0.264326,0.297506,0.692645,1.443383,1.388705,1.930335,3.154486,2.308615,2.818008
3,0.204071,0.374032,0.633409,1.155305,1.104151,2.357979,2.476497,2.353832,2.612784
4,0.237976,0.356742,0.61323,0.965625,1.557832,1.972011,2.726649,2.35326,3.742391
5,0.165115,0.312435,0.667964,0.911941,2.122868,1.791525,2.082379,2.564644,2.487082
6,0.229668,0.3635,0.553246,0.909484,2.158454,1.796148,2.043864,2.340911,2.486401
7,0.27463,0.36098,0.714911,0.904267,1.419179,1.784982,2.049744,2.324435,3.092504
8,0.248142,0.396056,0.75701,1.009784,1.549265,1.781994,3.177878,2.364729,2.492673
9,0.273587,0.301979,0.739812,1.276781,1.847977,1.77313,2.049305,2.360291,2.529542
10,0.246638,0.416682,0.642821,1.125011,1.402009,1.77629,2.846028,3.297872,3.72586
11,0.285068,0.404041,0.658999,1.126288,2.200967,2.405525,3.162151,3.542793,2.654202
12,0.288616,0.292923,0.903236,1.478189,1.411802,1.74533,3.022397,2.935433,2.657129
13,0.242169,0.297966,0.807191,1.087312,1.393698,1.778884,2.97677,3.325904,2.600135
14,0.290931,0.304241,0.634729,1.542658,1.497373,1.741209,2.85535,3.310945,2.661555
15,0.166496,0.337356,0.99142,0.925266,1.833201,1.910584,2.351562,2.401527,2.548997
16,0.165127,0.488595,0.830688,0.927102,1.610606,1.854518,2.355855,2.412386,2.463416
17,0.220478,0.338539,0.788302,1.219908,1.60645,2.174893,2.333311,2.421576,2.472657
18,0.166325,0.361078,0.748064,1.170672,1.70259,1.931022,2.354724,2.421191,2.476551
19,0.172655,0.335789,0.773363,0.928217,1.627747,3.184554,2.317757,2.431911,3.236334
