,12,16,20,24,28,32,36,40,44
avg,"[2.054, 1.264, 1.441, 0.945, 3.263, 0.984, 1.383, 0.967, 2.663, 1.006, 1.264, 2.911, 4.071, 1.279, 1.091, 1.262, 2.416, 1.129, 0.963, 1.381]","[5.236, 139.82, 1.053, 5.878, 2.356, 7.293, 6.275, 2.236, 9.884, 0.925, 8.205, 3.51, 4.443, 3.972, 2.429, 10.889, 1.63, 1.072, 4.291, 2.168]","[5.247, 17.943, 5.182, 60.267, 1.741, 2.913, 1.515, 10.108, 30.161, 28.35, 5.93, 10.58, 3.8, 21.206, 4.466, 4.398, 7.929, 26.964, 1.105, 2.129]","[6.646, 3.702, 1.996, 496.449, 9.394, 3.153, 17267.086, 2.048, 3.704, 3.996, 15.138, 21.489, 36.932, 38.202, 20.352, 10.359, 1.596, 46.477, 233.449, 5.384]","[559.3, 25.403, 1379.247, 861.165, 12.562, 193.931, 3.608, 2.799, 2.606, 146.72, 40.895, 43.252, 35.844, 96.786, 1662.216, 185.144, 14.229, 17.752, 36.424, 9.653]","[2937.167, 253.533, 8.968, 115.864, 81.254, 382.526, 4184.215, 18.049, 101.012, 254.963, 25.392, 14.826, 164.945, 8.105, 2029.389, 2817.189, 19.011, 685.034, 35.354, 475.739]","[86.181, 29.201, 10.634, 494.655, 118.978, 57.578, 46.118, 228.333, 188.247, 75.202, 279.066, 29.186, 529.06, 380.394, 113.681, 376.2, 257.87, 85.618, 820.047, 2421.47]","[652.458, 96.857, 332.208, 33.023, 22.342, 5114.553, 42.716, 53.552, 185.654, 453.651, 125.015, 3137.586, 61.867, 1339.008, 1916.517, 11.847, 272.353, 517.074, 94.766, 267.525]","[8124.468, 69075.25, 19734.141, 59.928, 2556.125, 11510.623, 1768.916, 9999999, 69075.25, 1158.663, 5311.355, 7269.019, 3287.104, 598.369, 1242.337, 1724.635, 2090.956, 283.136, 401.655, 515.129]"
elite,"[1.091, 1.186, 1.441, 0.924, 2.139, 0.951, 1.135, 0.951, 1.306, 0.818, 1.105, 2.547, 2.149, 1.156, 0.837, 0.903, 1.184, 0.959, 0.913, 1.121]","[3.055, 3.418, 0.891, 2.589, 2.356, 1.729, 2.992, 1.066, 2.303, 0.925, 3.684, 1.251, 1.982, 1.939, 1.817, 4.125, 1.63, 0.889, 4.291, 0.876]","[5.247, 4.007, 5.182, 2.422, 1.741, 2.913, 1.09, 2.476, 1.526, 1.442, 3.909, 5.459, 2.588, 3.159, 4.466, 1.618, 1.763, 10.373, 1.105, 1.196]","[1.833, 2.059, 1.996, 3.263, 3.506, 2.397, 12.372, 2.048, 3.704, 1.575, 3.651, 3.985, 12.884, 5.829, 8.39, 2.172, 1.253, 1.832, 16.459, 2.491]","[30.108, 6.592, 6.008, 121.036, 5.607, 7.018, 2.513, 2.162, 1.823, 21.118, 3.717, 2.139, 3.158, 5.561, 16.243, 22.346, 3.451, 4.495, 6.371, 3.626]","[7.352, 11.924, 5.833, 21.919, 11.944, 4.016, 26.275, 18.049, 41.347, 11.61, 4.843, 5.613, 11.09, 2.822, 125.486, 265.953, 10.166, 21.812, 16.568, 30.62]","[27.832, 29.201, 272.9, 7.77, 17.991, 25.325, 4.519, 33.196, 25.154, 16.537, 152.222, 9.297, 16.322, 14.343, 13.689, 7.284, 30.534, 10.932, 151.877, 99.564]","[218.032, 44.554, 128.142, 11.554, 22.342, 32.941, 31.478, 53.552, 185.654, 252.589, 26.797, 88.39, 45.397, 9999999, 1916.517, 9.082, 186.683, 8.181, 25.55, 118.978]","[1006.127, 5523.901, 289.774, 42.511, 213.894, 178.756, 998.82, 449.181, 2654.526, 1158.663, 251.652, 2875.928, 3287.104, 533.179, 47.972, 123.852, 1642.4, 90.963, 352.847, 75.377]"
opt,"[1.091, 1.186, 1.441, 0.924, 2.139, 0.951, 1.135, 0.949, 1.306, 0.817, 1.105, 2.547, 2.149, 1.156, 0.837, 0.903, 1.184, 0.959, 0.913, 1.121]","[3.055, 3.418, 0.891, 2.589, 2.356, 1.729, 2.992, 1.066, 2.303, 0.925, 3.684, 1.251, 1.982, 1.939, 1.817, 4.125, 1.63, 0.889, 4.291, 0.876]","[5.247, 4.007, 5.035, 2.422, 1.741, 2.913, 1.09, 2.476, 1.526, 1.442, 3.909, 5.459, 2.588, 3.159, 4.466, 1.618, 1.763, 10.373, 1.105, 1.196]","[1.833, 2.059, 1.996, 3.263, 3.506, 2.397, 12.372, 2.048, 3.704, 1.575, 3.651, 3.985, 12.884, 5.829, 8.39, 2.172, 1.253, 1.832, 16.459, 2.491]","[30.108, 6.592, 6.008, 22.548, 5.607, 7.018, 2.513, 2.162, 1.823, 21.118, 3.717, 2.139, 3.158, 5.561, 16.243, 22.346, 3.451, 4.495, 6.371, 3.626]","[7.352, 11.924, 5.833, 21.919, 11.944, 4.016, 26.275, 18.049, 41.347, 11.61, 4.843, 5.613, 11.09, 2.822, 125.486, 265.953, 10.166, 21.812, 16.568, 30.62]","[27.832, 29.201, 7.783, 7.77, 17.991, 25.325, 4.519, 33.196, 25.154, 16.537, 152.222, 9.297, 16.322, 14.343, 12.838, 7.284, 30.534, 10.932, 151.877, 99.564]","[218.032, 44.554, 128.142, 11.554, 22.342, 32.941, 27.134, 53.552, 185.654, 197.046, 26.797, 88.39, 37.384, 242.212, 1916.517, 9.082, 186.683, 8.181, 25.55, 64.219]","[1006.127, 5523.901, 289.774, 36.932, 213.894, 178.756, 998.82, 449.181, 2156.37, 1158.663, 251.652, 2875.928, 3287.104, 533.179, 47.972, 123.852, 1642.4, 73.499, 346.569, 75.377]"
stoch,"[1.091, 1.186, 1.441, 0.924, 2.139, 0.951, 5.196, 0.949, 1.306, 0.817, 1.105, 2.547, 2.149, 1.156, 0.837, 0.903, 1.184, 0.959, 0.913, 1.121]","[3.055, 3.418, 0.891, 2.589, 2.356, 1.729, 2.992, 1.066, 2.303, 0.925, 3.684, 1.251, 1.982, 1.939, 1.817, 4.125, 1.63, 0.889, 4.291, 0.876]","[5.247, 4.007, 5.035, 2.422, 1.741, 2.913, 1.09, 2.476, 1.526, 9.74, 3.909, 5.459, 2.588, 3.159, 4.466, 1.618, 1.763, 10.373, 1.105, 1.196]","[1.833, 2.059, 1.996, 3.263, 3.506, 2.397, 12.372, 2.048, 3.704, 1.575, 3.651, 3.985, 12.884, 21.987, 8.39, 2.172, 1.253, 1.832, 16.459, 2.491]","[30.108, 6.592, 6.008, 22.548, 23.759, 7.018, 2.602, 2.162, 1.823, 21.118, 3.717, 2.139, 3.158, 5.561, 16.243, 22.346, 57.604, 4.495, 6.371, 3.626]","[7.352, 11.924, 5.833, 21.919, 11.944, 4.016, 26.275, 18.049, 41.347, 11.61, 4.843, 5.613, 11.09, 2.822, 125.486, 265.953, 10.166, 21.812, 16.568, 30.62]","[27.832, 29.201, 7.783, 7.77, 17.991, 25.325, 4.519, 33.196, 25.154, 16.537, 152.222, 9.297, 16.322, 14.343, 12.838, 7.284, 30.534, 10.932, 151.877, 99.564]","[218.032, 44.554, 128.142, 11.554, 22.342, 32.941, 28.522, 53.552, 185.654, 197.046, 26.797, 88.39, 37.384, 385.769, 1916.517, 9.082, 229.883, 8.181, 29.215, 64.219]","[1006.127, 5523.901, 289.774, 36.932, 213.894, 178.756, 998.82, 449.181, 2156.37, 1158.663, 251.652, 2875.928, 3287.104, 533.179, 47.972, 123.852, 1642.4, 73.499, 352.847, 75.377]"
