,12,16,20,24,28,32,36,40,44
avg,"[2.054, 1.264, 1.441, 0.945, 3.263, 0.984, 1.383, 0.967, 2.663, 1.006, 1.264, 2.911, 4.071, 1.279, 1.091, 1.262, 2.416, 1.129, 0.963, 1.381]","[1.854, 139.82, 1.053, 5.878, 2.356, 7.293, 6.275, 2.236, 9.884, 0.925, 8.205, 3.51, 4.443, 3.972, 2.429, 10.889, 1.63, 1.072, 4.291, 2.168]","[5.247, 17.943, 4.513, 60.267, 1.741, 2.913, 1.515, 10.108, 30.161, 28.35, 5.93, 10.58, 3.8, 21.206, 4.466, 4.398, 7.929, 26.964, 1.105, 2.129]","[6.646, 3.702, 1.996, 496.449, 9.394, 3.153, 17267.086, 2.048, 3.704, 3.996, 15.138, 21.489, 36.932, 38.202, 20.352, 10.359, 1.596, 46.477, 233.449, 5.384]","[559.3, 25.403, 1379.247, 7.701, 12.562, 193.931, 3.608, 2.128, 2.606, 146.72, 40.895, 43.252, 35.844, 96.786, 1662.216, 185.144, 14.229, 17.752, 36.424, 9.653]","[2937.167, 253.533, 8.968, 115.864, 81.254, 382.526, 4184.215, 18.049, 101.012, 204.508, 25.392, 14.826, 164.945, 8.105, 2029.389, 1550.001, 19.011, 685.034, 34.05, 475.739]","[86.181, 29.201, 6.187, 257.381, 118.978, 57.578, 46.118, 207.015, 188.247, 75.202, 279.066, 29.186, 65.527, 380.394, 28.323, 376.2, 257.87, 85.618, 820.047, 2421.47]","[652.458, 37.976, 322.763, 12.278, 22.342, 5114.553, 20.789, 53.552, 106.636, 85.674, 53.552, 3137.586, 34.576, 348.34, 1916.517, 11.847, 272.353, 517.074, 94.766, 100.245]","[1313.459, 23023.548, 3067.81, 32.978, 2556.125, 2421.47, 1768.916, 9999999, 34536.474, 325.074, 5311.355, 3944.986, 1209.583, 194.771, 464.434, 1724.635, 943.963, 97.864, 176.877, 515.129]"
elite,"[1.091, 1.186, 1.441, 0.924, 2.139, 0.951, 1.135, 0.951, 1.306, 0.818, 1.105, 2.547, 2.149, 1.156, 0.837, 0.903, 1.184, 0.959, 0.913, 1.121]","[1.496, 3.418, 0.891, 2.589, 2.356, 1.729, 2.992, 1.066, 2.303, 0.925, 3.684, 1.251, 1.982, 1.939, 1.817, 4.125, 1.63, 0.889, 4.291, 0.876]","[5.247, 4.007, 4.513, 2.422, 1.741, 2.913, 1.09, 2.476, 1.526, 1.442, 3.909, 5.459, 2.588, 3.159, 4.466, 1.618, 1.763, 10.373, 1.105, 1.196]","[1.833, 2.059, 1.996, 3.263, 3.506, 2.397, 12.372, 2.048, 3.704, 1.575, 3.651, 3.985, 12.884, 5.829, 8.39, 2.172, 1.253, 1.832, 16.459, 2.491]","[30.108, 6.592, 6.008, 6.96, 5.607, 7.018, 2.513, 1.593, 1.823, 21.118, 3.717, 2.139, 3.158, 5.561, 16.243, 22.346, 3.451, 4.495, 6.371, 3.626]","[7.352, 11.924, 5.833, 21.919, 11.944, 4.016, 26.275, 18.049, 41.347, 9.518, 4.843, 5.613, 11.09, 2.822, 125.486, 113.39, 10.166, 21.812, 16.459, 30.62]","[27.832, 29.201, 3.817, 6.923, 17.991, 25.325, 4.519, 32.557, 25.154, 16.537, 152.222, 9.297, 6.646, 14.343, 6.405, 7.284, 30.534, 10.932, 151.877, 99.564]","[218.032, 18.551, 128.142, 5.695, 22.342, 32.941, 13.969, 53.552, 106.636, 57.865, 14.396, 88.39, 14.333, 9999999, 1916.517, 9.082, 186.683, 8.181, 25.55, 24.091]","[304.022, 1682.515, 109.277, 17.862, 213.894, 98.229, 998.82, 449.181, 425.418, 325.074, 251.652, 977.519, 1209.583, 190.373, 27.524, 123.852, 539.479, 12.471, 87.798, 75.377]"
opt,"[1.091, 1.186, 1.441, 0.924, 2.139, 0.951, 1.135, 0.949, 1.306, 0.817, 1.105, 2.547, 2.149, 1.156, 0.837, 0.903, 1.184, 0.959, 0.913, 1.121]","[1.496, 3.418, 0.891, 2.589, 2.356, 1.729, 2.992, 1.066, 2.303, 0.925, 3.684, 1.251, 1.982, 1.939, 1.817, 4.125, 1.63, 0.889, 4.291, 0.876]","[5.247, 4.007, 4.757, 2.422, 1.741, 2.913, 1.09, 2.476, 1.526, 1.442, 3.909, 5.459, 2.588, 3.159, 4.466, 1.618, 1.763, 10.373, 1.105, 1.196]","[1.833, 2.059, 1.996, 3.263, 3.506, 2.397, 12.372, 2.048, 3.704, 1.575, 3.651, 3.985, 12.884, 5.829, 8.39, 2.172, 1.253, 1.832, 16.459, 2.491]","[30.108, 6.592, 6.008, 10.387, 5.607, 7.018, 2.513, 1.593, 1.823, 21.118, 3.717, 2.139, 3.158, 5.561, 16.243, 22.346, 3.451, 4.495, 6.371, 3.626]","[7.352, 11.924, 5.833, 21.919, 11.944, 4.016, 26.275, 18.049, 41.347, 9.518, 4.843, 5.613, 11.09, 2.822, 125.486, 113.39, 10.166, 21.812, 16.459, 30.62]","[27.832, 29.201, 4.636, 6.923, 17.991, 25.325, 4.519, 32.557, 25.154, 16.537, 152.222, 9.297, 6.646, 14.343, 6.883, 7.284, 30.534, 10.932, 151.877, 99.564]","[218.032, 18.551, 128.142, 5.695, 22.342, 32.941, 14.721, 53.552, 106.636, 75.86, 14.396, 88.39, 15.331, 80.058, 1916.517, 9.082, 186.683, 8.181, 25.55, 29.107]","[304.022, 1682.515, 109.277, 18.193, 213.894, 98.229, 998.82, 449.181, 840.104, 325.074, 251.652, 977.519, 1209.583, 190.373, 27.524, 123.852, 539.479, 19.946, 110.186, 75.377]"
stoch,"[1.091, 1.186, 1.441, 0.924, 2.139, 0.951, 5.196, 0.949, 1.306, 0.817, 1.105, 2.547, 2.149, 1.156, 0.837, 0.903, 1.184, 0.959, 0.913, 1.121]","[1.496, 3.418, 0.891, 2.589, 2.356, 1.729, 2.992, 1.066, 2.303, 0.925, 3.684, 1.251, 1.982, 1.939, 1.817, 4.125, 1.63, 0.889, 4.291, 0.876]","[5.247, 4.007, 4.757, 2.422, 1.741, 2.913, 1.09, 2.476, 1.526, 9.74, 3.909, 5.459, 2.588, 3.159, 4.466, 1.618, 1.763, 10.373, 1.105, 1.196]","[1.833, 2.059, 1.996, 3.263, 3.506, 2.397, 12.372, 2.048, 3.704, 1.575, 3.651, 3.985, 12.884, 21.987, 8.39, 2.172, 1.253, 1.832, 16.459, 2.491]","[30.108, 6.592, 6.008, 10.387, 23.759, 7.018, 2.602, 1.593, 1.823, 21.118, 3.717, 2.139, 3.158, 5.561, 16.243, 22.346, 57.604, 4.495, 6.371, 3.626]","[7.352, 11.924, 5.833, 21.919, 11.944, 4.016, 26.275, 18.049, 41.347, 9.518, 4.843, 5.613, 11.09, 2.822, 125.486, 113.39, 10.166, 21.812, 16.459, 30.62]","[27.832, 29.201, 4.636, 6.923, 17.991, 25.325, 4.519, 32.557, 25.154, 16.537, 152.222, 9.297, 6.646, 14.343, 6.883, 7.284, 30.534, 10.932, 151.877, 99.564]","[218.032, 18.551, 128.142, 5.695, 22.342, 32.941, 14.1, 53.552, 106.636, 75.86, 14.396, 88.39, 15.331, 76.127, 1916.517, 9.082, 229.883, 8.181, 29.215, 29.107]","[304.022, 1682.515, 109.277, 18.193, 213.894, 98.229, 998.82, 449.181, 840.104, 325.074, 251.652, 977.519, 1209.583, 190.373, 27.524, 123.852, 539.479, 19.946, 87.798, 75.377]"
