,12,16,20,24,28,32,36,40,44
avg,"[2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1]","[2, 76, 1, 4, 2, 5, 5, 2, 6, 1, 5, 2, 3, 2, 2, 5, 2, 1, 3, 2]","[3, 10, 3, 36, 1, 2, 1, 6, 19, 16, 3, 6, 3, 9, 3, 2, 5, 15, 1, 2]","[4, 2, 2, 246, 5, 2, 7610, 2, 3, 3, 7, 10, 22, 16, 12, 5, 1, 27, 114, 3]","[232, 11, 554, 268, 6, 93, 3, 2, 2, 61, 19, 25, 15, 44, 808, 102, 8, 9, 20, 5]","[1057, 119, 5, 52, 32, 141, 1812, 9, 45, 92, 11, 9, 80, 4, 868, 963, 7, 276, 15, 236]","[32, 13, 4, 178, 47, 24, 19, 86, 98, 29, 108, 14, 148, 168, 39, 155, 92, 35, 329, 994]","[237, 33, 122, 10, 10, 1944, 14, 22, 68, 152, 45, 1408, 23, 369, 750, 5, 100, 207, 40, 92]","[2748, 19237, 6504, 20, 1061, 3730, 657, 0, 23469, 394, 2469, 2613, 1108, 208, 441, 640, 687, 88, 121, 197]"
elite,"[1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1]","[2, 3, 1, 2, 2, 2, 3, 1, 2, 1, 3, 1, 2, 2, 1, 3, 2, 1, 3, 1]","[3, 3, 3, 2, 1, 2, 1, 2, 2, 1, 2, 3, 2, 2, 3, 1, 2, 5, 1, 1]","[2, 1, 2, 2, 2, 2, 6, 2, 3, 2, 2, 2, 7, 3, 5, 2, 1, 2, 9, 2]","[13, 3, 3, 40, 3, 4, 2, 1, 1, 9, 2, 2, 2, 3, 9, 13, 2, 3, 4, 2]","[4, 7, 3, 11, 5, 2, 12, 9, 19, 5, 2, 4, 6, 2, 54, 89, 5, 10, 8, 16]","[11, 13, 82, 4, 8, 11, 2, 13, 14, 7, 60, 5, 5, 8, 5, 4, 12, 5, 63, 42]","[82, 15, 52, 4, 10, 13, 11, 22, 68, 85, 10, 41, 16, 0, 750, 4, 70, 4, 12, 41]","[343, 1521, 98, 14, 90, 63, 373, 211, 872, 394, 119, 982, 1108, 186, 19, 49, 525, 28, 99, 31]"
opt,"[1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1]","[2, 3, 1, 2, 2, 2, 3, 1, 2, 1, 3, 1, 2, 2, 1, 3, 2, 1, 3, 1]","[3, 3, 3, 2, 1, 2, 1, 2, 2, 1, 2, 3, 2, 2, 3, 1, 2, 5, 1, 1]","[2, 1, 2, 2, 2, 2, 6, 2, 3, 2, 2, 2, 7, 3, 5, 2, 1, 2, 9, 2]","[13, 3, 3, 8, 3, 4, 2, 1, 1, 9, 2, 2, 2, 3, 9, 13, 2, 3, 4, 2]","[4, 7, 3, 11, 5, 2, 12, 9, 19, 5, 2, 4, 6, 2, 54, 89, 5, 10, 8, 16]","[11, 13, 3, 4, 8, 11, 2, 13, 14, 7, 60, 5, 5, 8, 5, 4, 12, 5, 63, 42]","[82, 15, 52, 4, 10, 13, 10, 22, 68, 68, 10, 41, 13, 69, 750, 4, 70, 4, 12, 23]","[343, 1521, 98, 12, 90, 63, 373, 211, 722, 394, 119, 982, 1108, 186, 19, 49, 525, 23, 99, 31]"
stoch,"[1, 1, 2, 1, 2, 1, 3, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1]","[2, 3, 1, 2, 2, 2, 3, 1, 2, 1, 3, 1, 2, 2, 1, 3, 2, 1, 3, 1]","[3, 3, 3, 2, 1, 2, 1, 2, 2, 6, 2, 3, 2, 2, 3, 1, 2, 5, 1, 1]","[2, 1, 2, 2, 2, 2, 6, 2, 3, 2, 2, 2, 7, 10, 6, 2, 1, 2, 9, 2]","[13, 3, 3, 8, 11, 4, 2, 1, 1, 9, 2, 2, 2, 3, 10, 13, 27, 3, 4, 2]","[4, 7, 3, 11, 5, 2, 12, 9, 26, 5, 2, 4, 6, 2, 54, 106, 5, 10, 8, 16]","[11, 13, 3, 5, 8, 12, 2, 16, 14, 7, 63, 5, 5, 7, 5, 4, 12, 5, 130, 42]","[237, 50, 70, 4, 10, 13, 13, 22, 68, 68, 10, 41, 13, 516, 913, 4, 84, 4, 13, 26]","[744, 1521, 98, 12, 90, 63, 1458, 211, 872, 394, 307, 982, 4614, 208, 19, 49, 525, 23, 99, 31]"
