,prob,eng
0,0.0021333333333333334,-758.63524
1,0.0033333333333333335,-714.63524
2,6.666666666666667e-05,-705.61988
3,0.0001,-702.75762
4,0.0010333333333333334,-702.62486
5,0.0007666666666666667,-701.51433
6,0.00046666666666666666,-698.83079
7,0.00016666666666666666,-698.65087
8,0.0001,-696.13496
9,3.3333333333333335e-05,-695.31976
10,0.0005333333333333334,-695.28036
11,3.3333333333333335e-05,-695.2407
12,3.3333333333333335e-05,-695.23307
13,0.0002666666666666667,-694.28471
14,3.3333333333333335e-05,-694.21628
15,3.3333333333333335e-05,-693.90061
16,3.3333333333333335e-05,-693.43808
17,0.0005666666666666667,-693.11648
18,0.0001,-692.80631
19,0.0001,-692.56343
20,3.3333333333333335e-05,-692.01058
21,6.666666666666667e-05,-691.32687
22,0.00013333333333333334,-690.72304
23,3.3333333333333335e-05,-690.65946
24,3.3333333333333335e-05,-690.19642
25,0.0002666666666666667,-690.146
26,3.3333333333333335e-05,-689.87639
27,0.00013333333333333334,-689.48955
28,0.0002,-689.21144
29,3.3333333333333335e-05,-688.79843
30,0.00016666666666666666,-687.9516
31,0.00016666666666666666,-687.84514
32,3.3333333333333335e-05,-687.46238
33,3.3333333333333335e-05,-687.261
34,3.3333333333333335e-05,-687.21568
35,3.3333333333333335e-05,-687.17756
36,3.3333333333333335e-05,-686.71822
37,3.3333333333333335e-05,-686.67713
38,6.666666666666667e-05,-686.51435
39,3.3333333333333335e-05,-686.15436
40,0.00016666666666666666,-685.99771
41,3.3333333333333335e-05,-685.58374
42,3.3333333333333335e-05,-685.14426
43,3.3333333333333335e-05,-685.10794
44,0.0001,-685.03458
45,6.666666666666667e-05,-684.42965
46,3.3333333333333335e-05,-683.84671
47,0.0018,-683.60613
48,0.0001,-683.53758
49,3.3333333333333335e-05,-683.24273
50,3.3333333333333335e-05,-683.1217
51,3.3333333333333335e-05,-683.00545
52,3.3333333333333335e-05,-682.8519
53,3.3333333333333335e-05,-682.6576
54,3.3333333333333335e-05,-682.58118
55,3.3333333333333335e-05,-682.56906
56,3.3333333333333335e-05,-682.53089
57,6.666666666666667e-05,-682.4432
58,0.0002,-682.38823
59,3.3333333333333335e-05,-681.91149
60,3.3333333333333335e-05,-681.66884
61,0.00013333333333333334,-681.62195
62,3.3333333333333335e-05,-681.61482
63,3.3333333333333335e-05,-681.59365
64,3.3333333333333335e-05,-681.22601
65,3.3333333333333335e-05,-681.0175
66,3.3333333333333335e-05,-680.97366
67,3.3333333333333335e-05,-680.69128
68,3.3333333333333335e-05,-680.55212
69,0.0015,-680.53518
70,0.0001,-680.38477
71,3.3333333333333335e-05,-680.31632
72,3.3333333333333335e-05,-680.3047
73,0.0001,-680.09738
74,3.3333333333333335e-05,-680.07684
75,3.3333333333333335e-05,-680.025
76,0.00013333333333333334,-679.76538
77,3.3333333333333335e-05,-679.67981
78,6.666666666666667e-05,-679.4666
79,3.3333333333333335e-05,-679.36623
80,3.3333333333333335e-05,-679.00612
81,6.666666666666667e-05,-678.96881
82,6.666666666666667e-05,-678.77541
83,0.00013333333333333334,-678.74592
84,6.666666666666667e-05,-678.46431
85,3.3333333333333335e-05,-678.41048
86,0.0001,-678.16799
87,3.3333333333333335e-05,-678.14749
88,3.3333333333333335e-05,-678.1301
89,6.666666666666667e-05,-678.02876
90,3.3333333333333335e-05,-677.7621
91,3.3333333333333335e-05,-677.65538
92,0.0001,-677.61922
93,0.0005666666666666667,-677.61158
94,6.666666666666667e-05,-677.56341
95,6.666666666666667e-05,-677.39923
96,3.3333333333333335e-05,-677.36259
97,3.3333333333333335e-05,-677.33808
98,0.0004333333333333333,-677.27863
99,3.3333333333333335e-05,-677.25875
100,3.3333333333333335e-05,-677.12724
101,0.0001,-677.04133
102,6.666666666666667e-05,-676.92935
103,6.666666666666667e-05,-676.91103
104,0.0007333333333333333,-676.6917
105,6.666666666666667e-05,-676.60994
106,3.3333333333333335e-05,-676.45908
107,0.00013333333333333334,-676.32614
108,3.3333333333333335e-05,-676.29685
109,3.3333333333333335e-05,-676.22645
110,0.00016666666666666666,-676.08092
111,3.3333333333333335e-05,-675.87597
112,3.3333333333333335e-05,-675.81964
113,3.3333333333333335e-05,-675.80857
114,6.666666666666667e-05,-675.78176
115,0.00023333333333333333,-675.77112
116,3.3333333333333335e-05,-675.75622
117,0.00013333333333333334,-675.64794
118,0.0001,-675.38878
119,0.0001,-675.37577
120,3.3333333333333335e-05,-675.25847
121,6.666666666666667e-05,-675.02171
122,3.3333333333333335e-05,-674.92944
123,3.3333333333333335e-05,-674.60154
124,0.0001,-674.51125
125,3.3333333333333335e-05,-674.37909
126,3.3333333333333335e-05,-674.30811
127,3.3333333333333335e-05,-674.04879
128,0.0001,-674.04095
129,3.3333333333333335e-05,-673.95923
130,0.00013333333333333334,-673.74758
131,3.3333333333333335e-05,-673.53401
132,6.666666666666667e-05,-673.15208
133,3.3333333333333335e-05,-673.0695
134,0.0003,-673.03649
135,0.0001,-672.93643
136,3.3333333333333335e-05,-672.88964
137,0.0019666666666666665,-672.77061
138,0.00036666666666666667,-672.75869
139,3.3333333333333335e-05,-672.67446
140,0.00013333333333333334,-672.60098
141,0.0005,-672.44018
142,0.00016666666666666666,-672.35667
143,3.3333333333333335e-05,-672.21228
144,0.0007333333333333333,-672.06789
145,3.3333333333333335e-05,-672.02546
146,6.666666666666667e-05,-671.76704
147,3.3333333333333335e-05,-671.75283
148,0.0001,-671.58121
149,0.00016666666666666666,-671.51415
150,0.00016666666666666666,-671.48094
151,3.3333333333333335e-05,-671.45228
152,0.0001,-671.3718
153,3.3333333333333335e-05,-671.31361
154,0.00013333333333333334,-671.19276
155,3.3333333333333335e-05,-671.09032
156,3.3333333333333335e-05,-671.08687
157,3.3333333333333335e-05,-671.01585
158,3.3333333333333335e-05,-671.00876
159,3.3333333333333335e-05,-670.94516
160,6.666666666666667e-05,-670.90745
161,0.00013333333333333334,-670.89404
162,0.00013333333333333334,-670.85028
163,3.3333333333333335e-05,-670.77364
164,0.0001,-670.70927
165,0.0001,-670.64471
166,6.666666666666667e-05,-670.64016
167,0.0001,-670.63524
168,3.3333333333333335e-05,-670.57052
169,0.0006333333333333333,-670.52584
170,3.3333333333333335e-05,-670.41486
171,0.0035,-670.32386
172,3.3333333333333335e-05,-670.26887
173,3.3333333333333335e-05,-670.21371
174,3.3333333333333335e-05,-670.19549
175,3.3333333333333335e-05,-670.11035
176,6.666666666666667e-05,-669.99975
177,3.3333333333333335e-05,-669.80049
178,6.666666666666667e-05,-669.78962
179,0.00016666666666666666,-669.75483
180,0.00013333333333333334,-669.64558
181,3.3333333333333335e-05,-669.61706
182,6.666666666666667e-05,-669.50253
183,3.3333333333333335e-05,-669.40535
184,3.3333333333333335e-05,-669.17376
185,3.3333333333333335e-05,-669.16673
186,6.666666666666667e-05,-669.13175
187,6.666666666666667e-05,-669.00721
188,3.3333333333333335e-05,-669.00236
189,3.3333333333333335e-05,-668.93662
190,0.00046666666666666666,-668.90899
191,3.3333333333333335e-05,-668.8916
192,0.0001,-668.89088
