,cumulative,eng
0,0.03921824918272343,0.0
1,0.03921824918272343,0.001
2,0.03921824918272343,0.002
3,0.03921824918272343,0.003
4,0.03921824918272343,0.004
5,0.03921824918272343,0.005
6,0.03921824918272343,0.006
7,0.03921824918272343,0.006999999999999999
8,0.03921824918272343,0.008
9,0.03921824918272343,0.009000000000000001
10,0.03921824918272343,0.01
11,0.03921824918272343,0.011000000000000001
12,0.03921824918272343,0.012
13,0.03921824918272343,0.013
14,0.03921824918272343,0.013999999999999999
15,0.03921824918272343,0.015
16,0.03921824918272343,0.016
17,0.03921824918272343,0.017
18,0.03921824918272343,0.018000000000000002
19,0.03921824918272343,0.019
20,0.03921824918272343,0.02
21,0.03921824918272343,0.021
22,0.03921824918272343,0.022000000000000002
23,0.03921824918272343,0.023
24,0.03921824918272343,0.024
25,0.03921824918272343,0.025
26,0.03921824918272343,0.026
27,0.03921824918272343,0.027000000000000003
28,0.03921824918272343,0.027999999999999997
29,0.03921824918272343,0.028999999999999998
30,0.03921824918272343,0.03
31,0.03921824918272343,0.031
32,0.03921824918272343,0.032
33,0.03921824918272343,0.033
34,0.03921824918272343,0.034
35,0.03921824918272343,0.035
36,0.03921824918272343,0.036000000000000004
37,0.03921824918272343,0.037000000000000005
38,0.03921824918272343,0.038
39,0.03921824918272343,0.039
40,0.03921824918272343,0.04
41,0.03921824918272343,0.040999999999999995
42,0.03921824918272343,0.042
43,0.03921824918272343,0.043
44,0.04878246975766576,0.044000000000000004
45,0.17319030801592272,0.045
46,0.17319030801592272,0.046
47,0.17319030801592272,0.047
48,0.17319030801592272,0.048
49,0.17319030801592272,0.049
50,0.17319030801592272,0.05
51,0.17319030801592272,0.051
52,0.17319030801592272,0.052000000000000005
53,0.17319030801592272,0.053
54,0.17319030801592272,0.054000000000000006
55,0.17319030801592272,0.055
56,0.1786946461319171,0.055999999999999994
57,0.1786946461319171,0.057
58,0.18416270412310787,0.057999999999999996
59,0.18416270412310787,0.059
60,0.18416270412310787,0.06
61,0.197675673331567,0.061
62,0.20301860512012349,0.062
63,0.2240403559176104,0.063
64,0.22920943805643967,0.064
65,0.24198347763860872,0.065
66,0.24198347763860872,0.066
67,0.24451302168886357,0.067
68,0.249547065826501,0.068
69,0.2980962761351208,0.069
70,0.3074262418516376,0.07
71,0.31204507664345393,0.07100000000000001
72,0.33245529420188213,0.07200000000000001
73,0.34353406632320316,0.073
74,0.36301906154398234,0.07400000000000001
75,0.3942295635092721,0.075
76,0.4002875200379603,0.076
77,0.4002875200379603,0.077
78,0.423925374668533,0.078
79,0.45947908582183505,0.079
80,0.46309278392856734,0.08
81,0.4808055987501203,0.081
82,0.49455827790445217,0.08199999999999999
83,0.5241970984515958,0.083
84,0.5352527797329939,0.084
85,0.5580943730131136,0.085
86,0.5683699261371331,0.08600000000000001
87,0.5769890219419633,0.08700000000000001
88,0.5909771092687653,0.08800000000000001
89,0.6188787470146156,0.08900000000000001
90,0.6364243248079493,0.09
91,0.6436968055121629,0.091
92,0.6566576143554246,0.092
93,0.6680345510537045,0.09300000000000001
94,0.7039953434431614,0.094
95,0.7079638394145751,0.095
96,0.7591102701722264,0.096
97,0.7816195558696211,0.09699999999999999
98,0.7924319510907754,0.098
99,0.8162670754876494,0.099
100,0.8283162016479428,0.1
101,0.8444105439263898,0.10099999999999999
102,0.8590098115520123,0.102
103,0.8739786774491929,0.103
104,0.8818716946949091,0.104
105,0.8929850105903259,0.105
106,0.9020649668603541,0.106
107,0.9142736810157279,0.107
108,0.9239401784260517,0.10800000000000001
109,0.9318296402919208,0.109
110,0.9393254932861796,0.11
111,0.9471050940684906,0.111
112,0.9540541116666708,0.11199999999999999
113,0.9637663698085867,0.113
114,0.9706417421480491,0.114
115,0.9756401638791584,0.115
116,0.9794414503326929,0.11599999999999999
117,0.9833045100893577,0.11699999999999999
118,0.985918849297981,0.118
119,0.9882507297090398,0.119
120,0.990061855011477,0.12
121,0.9922728694649561,0.121
122,0.9935595337963177,0.122
123,0.995238108276553,0.12300000000000001
124,0.99630440488856,0.124
125,0.9974222727020542,0.125
126,0.997952399243605,0.126
127,0.9983916091239685,0.127
128,0.9987507734744915,0.128
129,0.9989510956640787,0.129
130,0.9992872053399668,0.13
131,0.9994968165242644,0.131
132,0.9996254898904738,0.132
133,0.999729448557665,0.133
134,0.9998336036057467,0.134
135,0.9998814164336145,0.135
136,0.9999137132664041,0.136
137,0.9999466421896245,0.13699999999999998
138,0.9999626765980884,0.138
139,0.9999753356848137,0.139
140,0.9999851755132351,0.14
141,0.9999902412291821,0.141
142,0.9999938929257159,0.14200000000000002
143,0.9999960844632684,0.14300000000000002
144,0.9999977212597738,0.14400000000000002
145,0.9999985342907156,0.145
146,0.9999990482113507,0.146
147,0.9999994566627367,0.147
148,0.9999997002427005,0.14800000000000002
149,0.9999998259751656,0.149
150,0.999999898874152,0.15
151,0.999999945204179,0.151
152,0.9999999720178057,0.152
153,0.9999999837730581,0.153
154,0.9999999922310167,0.154
155,0.9999999961009008,0.155
156,0.9999999983455193,0.156
157,0.9999999992051222,0.157
158,0.9999999995752674,0.158
159,0.999999999774884,0.159
160,0.9999999999114079,0.16
161,0.9999999999537108,0.161
162,0.9999999999759164,0.162
163,0.9999999999897572,0.163
164,0.9999999999956192,0.16399999999999998
165,0.9999999999982655,0.165
166,0.9999999999993543,0.166
167,0.999999999999734,0.16699999999999998
168,0.9999999999998893,0.168
169,0.999999999999953,0.16899999999999998
170,0.9999999999999837,0.17
171,0.9999999999999941,0.171
172,0.999999999999998,0.172
